chr,start,end,id,gene_id,strand
14,104689605,104689606,Q27J81,ENSG00000203485,+
18,23437960,23437961,Q24JQ0,ENSG00000134490,-
11,60924459,60924460,Q24JP5,ENSG00000006118,+
19,2096881,2096882,Q1ZYL8,ENSG00000099840,+
10,21525681,21525682,Q1XH10,ENSG00000180592,-
16,67326814,67326815,Q1X8D7,ENSG00000159708,+
2,46504,46505,Q1W6H9,ENSG00000184731,-
5,148268179,148268180,Q1W4C9,ENSG00000214510,+
7,112939874,112939875,Q1RMZ1,ENSG00000164603,-
11,15112423,15112424,Q1MX18,ENSG00000188487,+
8,67064367,67064368,Q1MSJ5,ENSG00000104218,+
9,35754275,35754276,Q1L6U9,ENSG00000215183,-
2,100322500,100322501,Q1L5Z9,ENSG00000170500,-
11,62727456,62727457,Q1KMD3,ENSG00000214753,-
15,45114325,45114326,Q1HG44,ENSG00000140274,+
15,45129878,45129879,Q1HG43,ENSG00000140254,-
11,26722059,26722060,Q1EHB4,ENSG00000148942,-
16,19718226,19718227,Q1ED39,ENSG00000103550,-
3,159069318,159069319,Q1A5X6,ENSG00000214216,+
5,139462742,139462743,Q19T08,ENSG00000249751,-
17,15999703,15999704,Q19AV6,ENSG00000214941,-
4,3463305,3463306,Q18PE1,ENSG00000175920,+
8,142700110,142700111,Q17RY6,ENSG00000160886,+
5,173888348,173888349,Q17RY0,ENSG00000113742,+
1,86156771,86156772,Q17RW2,ENSG00000171502,-
2,17753857,17753858,Q17RS7,ENSG00000178295,+
10,116427846,116427847,Q17RR3,ENSG00000203837,+
19,45153851,45153852,Q17RQ9,ENSG00000179846,-
5,150000653,150000654,Q17RP2,ENSG00000164296,-
19,38403092,38403093,Q17RN3,ENSG00000130244,+
2,74482997,74482998,Q17RM4,ENSG00000135637,-
16,67326740,67326741,Q17RG1,ENSG00000168676,-
4,75556064,75556065,Q17RF5,ENSG00000174792,+
14,61812702,61812703,Q17RD7,ENSG00000139973,+
14,103094724,103094725,Q17RC7,ENSG00000205436,+
8,12755525,12755526,Q17RB8,ENSG00000154359,-
X,135022541,135022542,Q17RB0,ENSG00000212747,-
4,145938822,145938823,Q17R98,ENSG00000151612,-
17,12789497,12789498,Q17R89,ENSG00000006740,+
6,76072661,76072662,Q17R60,ENSG00000112706,-
19,35228738,35228739,Q17R55,ENSG00000177558,-
1,212791827,212791828,Q17R31,ENSG00000203705,+
2,86195471,86195472,Q16891,ENSG00000132305,-
6,125153732,125153733,Q16890,ENSG00000111907,+
12,104215778,104215779,Q16881,ENSG00000198431,+
4,114598806,114598807,Q16880,ENSG00000174607,+
5,115816658,115816659,Q16878,ENSG00000129596,-
3,48556889,48556890,Q16877,ENSG00000114268,-
10,6144933,6144934,Q16875,ENSG00000170525,+
5,179793985,179793986,Q16873,ENSG00000213316,+
7,128862855,128862856,Q16864,ENSG00000128524,+
2,73926825,73926826,Q16854,ENSG00000114956,+
17,42851183,42851184,Q16853,ENSG00000131471,+
2,63840968,63840969,Q16851,ENSG00000169764,+
7,92134802,92134803,Q16850,ENSG00000001630,-
2,219309497,219309498,Q16849,ENSG00000054356,-
16,70439099,70439100,Q16842,ENSG00000157350,-
4,107989713,107989714,Q16836,ENSG00000138796,+
1,162631372,162631373,Q16832,ENSG00000162733,+
7,48088643,48088644,Q16831,ENSG00000183696,+
3,52056570,52056571,Q16829,ENSG00000164086,-
12,89352500,89352501,Q16828,ENSG00000139318,-
12,15322256,15322257,Q16827,ENSG00000151490,+
14,88555006,88555007,Q16825,ENSG00000070778,-
14,24094158,24094159,Q16822,ENSG00000100889,+
7,113919008,113919009,Q16821,ENSG00000154415,-
18,32190038,32190039,Q16820,ENSG00000141434,+
6,46793388,46793389,Q16819,ENSG00000112818,+
7,56092995,56092996,Q16816,ENSG00000164776,-
14,59870775,59870776,Q16799,ENSG00000139970,-
11,86672635,86672636,Q16798,ENSG00000151376,-
12,4649113,4649114,Q16795,ENSG00000139180,+
9,35673927,35673928,Q16790,ENSG00000107159,+
18,23689452,23689453,Q16787,ENSG00000053747,+
1,149886681,149886682,Q16778,ENSG00000184678,-
1,149886917,149886918,Q16777,ENSG00000184260,+
16,1826840,1826841,Q16775,ENSG00000063854,-
1,228139961,228139962,Q16774,ENSG00000143774,+
9,128881949,128881950,Q16773,ENSG00000171097,-
6,52909697,52909698,Q16772,ENSG00000174156,-
2,37344629,37344630,Q16769,ENSG00000115828,+
19,55407787,55407788,Q16763,ENSG00000108106,-
22,37020182,37020183,Q16762,ENSG00000128311,-
2,233354493,233354494,Q16760,ENSG00000077044,+
19,6361530,6361531,Q16740,ENSG00000125656,+
9,111896813,111896814,Q16739,ENSG00000148154,+
X,153517641,153517642,Q16720,ENSG00000067842,+
2,142877656,142877657,Q16719,ENSG00000115919,+
7,123557817,123557818,Q16718,ENSG00000128609,-
5,109689926,109689927,Q16706,ENSG00000112893,+
8,90001476,90001477,Q16698,ENSG00000104325,+
19,41088450,41088451,Q16696,ENSG00000197838,+
1,228425359,228425360,Q16695,ENSG00000168148,-
10,110497906,110497907,Q16690,ENSG00000138166,+
2,38076150,38076151,Q16678,ENSG00000138061,-
5,73448776,73448777,Q16676,ENSG00000251493,-
19,40775176,40775177,Q16674,ENSG00000261857,+
12,53423854,53423855,Q16671,ENSG00000135409,+
6,28267152,28267153,Q16670,ENSG00000197062,+
14,54396994,54396995,Q16667,ENSG00000100526,+
1,159009891,159009892,Q16666,ENSG00000163565,+
14,61695512,61695513,Q16665,ENSG00000100644,+
17,36001552,36001553,Q16663,ENSG00000275718,-
1,42153409,42153410,Q16661,ENSG00000044012,+
15,51971821,51971822,Q16659,ENSG00000069956,+
7,5592815,5592816,Q16658,ENSG00000075618,+
7,129611719,129611720,Q16656,ENSG00000106459,+
9,5890888,5890889,Q16655,ENSG00000120215,+
7,95596515,95596516,Q16654,ENSG00000004799,-
6,29657002,29657003,Q16653,ENSG00000204655,+
16,31135726,31135727,Q16651,ENSG00000052344,-
2,161416296,161416297,Q16650,ENSG00000136535,+
9,91423831,91423832,Q16649,ENSG00000165030,-
20,49568136,49568137,Q16647,ENSG00000124212,-
3,50611907,50611908,Q16644,ENSG00000114738,+
5,177473740,177473741,Q16643,ENSG00000113758,-
5,70049653,70049654,Q16637,ENSG00000205571,+
X,154411538,154411539,Q16635,ENSG00000102125,+
11,111379274,111379275,Q16633,ENSG00000110777,-
12,69239568,69239569,Q16630,ENSG00000111605,+
2,38751493,38751494,Q16629,ENSG00000115875,-
17,35986648,35986649,Q16627,ENSG00000276409,-
6,43013945,43013946,Q16626,ENSG00000124733,-
5,69492291,69492292,Q16625,ENSG00000197822,+
7,73719668,73719669,Q16623,ENSG00000106089,-
12,54301014,54301015,Q16621,ENSG00000123405,-
9,84668374,84668375,Q16620,ENSG00000148053,+
16,30896613,30896614,Q16619,ENSG00000150281,+
19,51372653,51372654,Q16617,ENSG00000105374,-
17,76453350,76453351,Q16613,ENSG00000129673,+
5,111997463,111997464,Q16612,ENSG00000134986,-
6,33580292,33580293,Q16611,ENSG00000030110,-
1,150508075,150508076,Q16610,ENSG00000143369,+
2,187448459,187448460,Q16602,ENSG00000064989,-
10,43574617,43574618,Q16600,ENSG00000196793,-
9,69035751,69035752,Q16595,ENSG00000165060,+
5,69368852,69368853,Q16594,ENSG00000273841,-
4,77157206,77157207,Q16589,ENSG00000138764,+
22,20394114,20394115,Q16587,ENSG00000185252,+
17,50166004,50166005,Q16586,ENSG00000108823,+
4,52038298,52038299,Q16585,ENSG00000163069,-
11,65614220,65614221,Q16584,ENSG00000173327,-
12,8066358,8066359,Q16581,ENSG00000171860,-
X,16870361,16870362,Q16576,ENSG00000102054,-
10,49610309,49610310,Q16572,ENSG00000187714,+
1,159204874,159204875,Q16570,ENSG00000213088,+
5,71719274,71719275,Q16568,ENSG00000164326,+
5,111223949,111223950,Q16566,ENSG00000152495,+
7,106112575,106112576,Q16563,ENSG00000008282,-
12,123458138,123458139,Q16560,ENSG00000184209,+
9,105662456,105662457,Q16559,ENSG00000186051,+
5,170389633,170389634,Q16558,ENSG00000145936,-
19,42740480,42740481,Q16557,ENSG00000221826,-
8,26577842,26577843,Q16555,ENSG00000092964,+
8,143018482,143018483,Q16553,ENSG00000160932,+
6,52186374,52186375,Q16552,ENSG00000112115,+
11,117232093,117232094,Q16549,ENSG00000160613,-
15,79971195,79971196,Q16548,ENSG00000140379,-
19,10403541,10403542,Q16543,ENSG00000105401,-
11,1947277,1947278,Q16540,ENSG00000214026,+
6,36027807,36027808,Q16539,ENSG00000112062,+
12,6821703,6821704,Q16538,ENSG00000250510,+
14,63543376,63543377,Q16537,ENSG00000154001,-
17,55264959,55264960,Q16534,ENSG00000108924,+
14,61762419,61762420,Q16533,ENSG00000023608,+
11,61333806,61333807,Q16531,ENSG00000167986,-
12,76879022,76879023,Q16527,ENSG00000175183,-
12,107093548,107093549,Q16526,ENSG00000008405,-
14,75522468,75522469,Q16520,ENSG00000156127,+
1,68449953,68449954,Q16518,ENSG00000116745,-
20,37521205,37521206,Q16517,ENSG00000053438,+
17,34157293,34157294,Q16515,ENSG00000108684,-
1,28648290,28648291,Q16514,ENSG00000120656,-
1,88684272,88684273,Q16513,ENSG00000065243,+
19,14433305,14433306,Q16512,ENSG00000123143,+
19,42070205,42070206,Q16478,ENSG00000105737,-
5,161685720,161685721,Q16445,ENSG00000145863,+
9,120842950,120842951,Q16401,ENSG00000095261,-
8,118111825,118111826,Q16394,ENSG00000182197,-
X,52751268,52751269,Q16385,ENSG00000268447,+
X,48255391,48255392,Q16384,ENSG00000126752,+
12,10849469,10849470,Q16378,ENSG00000111215,-
6,112254646,112254647,Q16363,ENSG00000112769,-
10,103277137,103277138,Q16352,ENSG00000148798,+
3,121894400,121894401,Q16348,ENSG00000163406,+
6,170584653,170584654,Q16342,ENSG00000071994,-
1,110519174,110519175,Q16322,ENSG00000143105,-
15,88256790,88256791,Q16288,ENSG00000140538,-
2,98346187,98346188,Q16281,ENSG00000144191,+
X,151734745,151734746,Q16280,ENSG00000183862,+
4,57110384,57110385,Q16270,ENSG00000163453,-
16,67192154,67192155,Q16254,ENSG00000205250,+
2,177392696,177392697,Q16236,ENSG00000116044,-
1,162561721,162561722,Q16222,ENSG00000117143,+
X,130903233,130903234,Q16206,ENSG00000165675,-
10,59906555,59906556,Q16204,ENSG00000108091,-
20,62302092,62302093,Q16186,ENSG00000130706,+
7,35801056,35801057,Q16181,ENSG00000122545,+
5,176630533,176630534,Q16143,ENSG00000074317,-
4,158672295,158672296,Q16134,ENSG00000171503,+
11,120511745,120511746,Q16099,ENSG00000149403,+
11,111912733,111912734,Q16082,ENSG00000170276,+
1,247172019,247172020,Q15973,ENSG00000196418,-
7,143381344,143381345,Q15942,ENSG00000159840,+
9,127424381,127424382,Q15937,ENSG00000196152,+
19,2944970,2944971,Q15935,ENSG00000175691,-
4,337813,337814,Q15928,ENSG00000131127,+
9,122913322,122913323,Q15916,ENSG00000186130,-
3,147409364,147409365,Q15915,ENSG00000152977,+
16,73891870,73891871,Q15911,ENSG00000140836,-
7,148884290,148884291,Q15910,ENSG00000106462,-
19,8390359,8390360,Q15907,ENSG00000185236,+
1,151190196,151190197,Q15906,ENSG00000163159,-
X,154428676,154428677,Q15904,ENSG00000071553,+
9,69324566,69324567,Q15884,ENSG00000135063,+
1,181482853,181482854,Q15878,ENSG00000198216,+
2,166375992,166375993,Q15858,ENSG00000169432,-
19,35268961,35268962,Q15853,ENSG00000105698,+
18,45212994,45212995,Q15849,ENSG00000132874,+
3,186842703,186842704,Q15848,ENSG00000181092,+
10,86968481,86968482,Q15847,ENSG00000148671,+
18,596987,596988,Q15846,ENSG00000079101,+
14,24232366,24232367,Q15843,ENSG00000129559,-
12,21775599,21775600,Q15842,ENSG00000121361,-
1,7771295,7771296,Q15836,ENSG00000049245,+
13,113667218,113667219,Q15835,ENSG00000185974,+
11,65890672,65890673,Q15834,ENSG00000175602,+
19,7637109,7637110,Q15833,ENSG00000076944,+
19,1205777,1205778,Q15831,ENSG00000118046,+
11,66012007,66012008,Q15828,ENSG00000175315,+
8,42768785,42768786,Q15825,ENSG00000147434,-
8,27479260,27479261,Q15822,ENSG00000120903,-
8,48008430,48008431,Q15819,ENSG00000169139,+
17,80476606,80476607,Q15818,ENSG00000171246,-
6,42746102,42746103,Q15814,ENSG00000124659,-
1,235328569,235328570,Q15813,ENSG00000285053,+
21,33642399,33642400,Q15811,ENSG00000205726,+
4,165327668,165327669,Q15800,ENSG00000052802,+
4,145481852,145481853,Q15797,ENSG00000170365,+
18,47931145,47931146,Q15796,ENSG00000175387,-
2,24491253,24491254,Q15788,ENSG00000084676,+
20,44960396,44960397,Q15785,ENSG00000025772,-
17,39607919,39607920,Q15784,ENSG00000171532,-
1,111200770,111200771,Q15782,ENSG00000064886,+
11,30586352,30586353,Q15777,ENSG00000066382,-
6,28141882,28141883,Q15776,ENSG00000198315,+
12,6767474,6767475,Q15773,ENSG00000089693,-
2,219434842,219434843,Q15772,ENSG00000072195,+
11,83071922,83071923,Q15771,ENSG00000137502,-
17,7705201,7705202,Q15768,ENSG00000108947,+
18,69956995,69956996,Q15762,ENSG00000150637,-
4,163343891,163343892,Q15761,ENSG00000164129,+
12,12696186,12696187,Q15760,ENSG00000183150,-
22,50270392,50270393,Q15759,ENSG00000185386,-
19,46788593,46788594,Q15758,ENSG00000105281,-
15,63833947,63833948,Q15751,ENSG00000103657,-
22,39399779,39399780,Q15750,ENSG00000100324,+
3,123884331,123884332,Q15746,ENSG00000065534,-
14,23119254,23119255,Q15744,ENSG00000092067,-
14,91253924,91253925,Q15743,ENSG00000119714,-
12,57089093,57089094,Q15742,ENSG00000166886,+
X,152830966,152830967,Q15738,ENSG00000147383,+
22,31122965,31122966,Q15735,ENSG00000185133,+
1,204196490,204196491,Q15726,ENSG00000170498,-
4,139177217,139177218,Q15723,ENSG00000109381,-
14,24311501,24311502,Q15722,ENSG00000213903,+
19,8005640,8005641,Q15717,ENSG00000066044,-
13,44576329,44576330,Q15714,ENSG00000102804,-
11,85627343,85627344,Q15700,ENSG00000150672,-
12,85280219,85280220,Q15699,ENSG00000180318,+
16,3401214,3401215,Q15697,ENSG00000103343,+
X,15790483,15790484,Q15696,ENSG00000169249,+
20,32819953,32819954,Q15691,ENSG00000101367,+
1,214551601,214551602,Q15678,ENSG00000152104,-
7,19117635,19117636,Q15672,ENSG00000122691,-
4,40191010,40191011,Q15669,ENSG00000168421,+
16,1240378,1240379,Q15661,ENSG00000172236,+
7,100867386,100867387,Q15654,ENSG00000087077,+
19,38899951,38899952,Q15653,ENSG00000104825,+
10,63465976,63465977,Q15652,ENSG00000171988,-
6,79234688,79234689,Q15651,ENSG00000118418,-
15,64387835,64387836,Q15650,ENSG00000103671,+
17,36486680,36486681,Q15649,ENSG00000273611,+
17,39451267,39451268,Q15648,ENSG00000125686,-
12,121039245,121039246,Q15646,ENSG00000135114,-
5,892883,892884,Q15645,ENSG00000071539,+
14,92040058,92040059,Q15643,ENSG00000100815,-
19,6739679,6739680,Q15642,ENSG00000125733,+
11,64778785,64778786,Q15637,ENSG00000168066,-
12,53500952,53500953,Q15633,ENSG00000139546,+
2,121755544,121755545,Q15631,ENSG00000211460,+
8,70608415,70608416,Q15629,ENSG00000067167,-
16,67159908,67159909,Q15628,ENSG00000102871,-
19,14835184,14835185,Q15622,ENSG00000188269,-
11,124445695,124445696,Q15620,ENSG00000197125,-
1,247760555,247760556,Q15619,ENSG00000221888,-
11,124241094,124241095,Q15617,ENSG00000197849,+
17,58148383,58148384,Q15615,ENSG00000141194,+
9,122614737,122614738,Q15612,ENSG00000165202,+
11,111927143,111927144,Q155Q3,ENSG00000150764,+
16,2026901,2026902,Q15599,ENSG00000065054,+
8,70403807,70403808,Q15596,ENSG00000140396,-
18,3411926,3411927,Q15583,ENSG00000177426,+
5,136028987,136028988,Q15582,ENSG00000120708,+
1,222589932,222589933,Q15573,ENSG00000143498,-
16,84187069,84187070,Q15572,ENSG00000103168,-
9,35605261,35605262,Q15569,ENSG00000107140,+
19,49362456,49362457,Q15562,ENSG00000074219,-
12,2959329,2959330,Q15561,ENSG00000197905,+
20,64057292,64057293,Q15560,ENSG00000171703,+
18,34976927,34976928,Q15555,ENSG00000166974,+
16,69386006,69386007,Q15554,ENSG00000132604,-
17,55421834,55421835,Q15546,ENSG00000108960,-
5,141320783,141320784,Q15545,ENSG00000178913,-
6,34888070,34888071,Q15544,ENSG00000064995,-
1,109076002,109076003,Q15543,ENSG00000197780,-
10,103367971,103367972,Q15542,ENSG00000148835,+
18,26090900,26090901,Q15532,ENSG00000141380,-
9,133347702,133347703,Q15528,ENSG00000148297,-
9,133356549,133356550,Q15527,ENSG00000148291,+
9,133356486,133356487,Q15526,ENSG00000148290,-
HSCHR6_MHC_COX_CTG1,2602821,2602822,Q15517,ENSG00000137197,-
11,124673843,124673844,Q15506,ENSG00000064199,+
X,47078354,47078355,Q15493,ENSG00000130988,+
9,134880809,134880810,Q15485,ENSG00000160339,+
6,31959174,31959175,Q15477,ENSG00000204351,+
14,60649476,60649477,Q15475,ENSG00000126778,-
1,47314146,47314147,Q15468,ENSG00000123473,-
1,26913974,26913975,Q15466,ENSG00000131910,-
7,155812462,155812463,Q15465,ENSG00000164690,-
9,38069226,38069227,Q15464,ENSG00000107338,-
22,30356893,30356894,Q15459,ENSG00000099995,-
17,78782272,78782273,Q15438,ENSG00000108669,-
20,18507519,18507520,Q15437,ENSG00000101310,+
14,39103234,39103235,Q15436,ENSG00000100934,-
2,241149591,241149592,Q15435,ENSG00000115685,+
12,56521819,56521820,Q15434,ENSG00000076067,+
1,114854862,114854863,Q15431,ENSG00000198765,+
19,2236823,2236824,Q15428,ENSG00000104897,+
1,149927802,149927803,Q15427,ENSG00000143368,-
19,5623082,5623083,Q15424,ENSG00000160633,+
1,26529760,26529761,Q15418,ENSG00000117676,+
1,94927222,94927223,Q15417,ENSG00000117519,-
Y,22403409,22403410,Q15415,ENSG00000226941,+
15,33310961,33310962,Q15413,ENSG00000198838,+
9,124771310,124771311,Q15406,ENSG00000148200,-
10,16817453,16817454,Q15404,ENSG00000148484,-
4,38804790,38804791,Q15399,ENSG00000174125,-
14,55191584,55191585,Q15398,ENSG00000126787,-
9,2844094,2844095,Q15397,ENSG00000080608,-
16,70523815,70523816,Q15393,ENSG00000189091,+
1,54887194,54887195,Q15392,ENSG00000116133,-
3,151278541,151278542,Q15391,ENSG00000174944,-
8,65644733,65644734,Q15390,ENSG00000066855,+
8,107498054,107498055,Q15389,ENSG00000154188,-
1,235128836,235128837,Q15388,ENSG00000173726,-
7,157138925,157138926,Q15386,ENSG00000009335,+
7,151519894,151519895,Q15382,ENSG00000106615,-
6,93419587,93419588,Q15375,ENSG00000135333,-
16,2777279,2777280,Q15370,ENSG00000103363,-
8,73972286,73972287,Q15369,ENSG00000154582,-
12,53452101,53452102,Q15366,ENSG00000197111,+
2,70087476,70087477,Q15365,ENSG00000169564,+
12,123584551,123584552,Q15363,ENSG00000086598,+
9,132406839,132406840,Q15361,ENSG00000125482,-
6,166862550,166862551,Q15349,ENSG00000071242,-
1,46303615,46303616,Q15345,ENSG00000132128,-
17,18225634,18225635,Q15334,ENSG00000131899,+
8,85177153,85177154,Q15329,ENSG00000133740,+
10,90921086,90921087,Q15327,ENSG00000148677,-
10,134464,134465,Q15326,ENSG00000015171,+
17,41397607,41397608,Q15323,ENSG00000094796,-
5,146338838,146338839,Q15319,ENSG00000091010,+
18,9475008,9475009,Q15311,ENSG00000017797,+
6,391738,391739,Q15306,ENSG00000137265,+
2,212538840,212538841,Q15303,ENSG00000178568,-
11,32091073,32091074,Q15293,ENSG00000049449,+
1,205122014,205122015,Q15291,ENSG00000117222,-
16,2268396,2268397,Q15287,ENSG00000205937,-
12,120116766,120116767,Q15286,ENSG00000111737,-
3,141487026,141487027,Q15283,ENSG00000155903,+
17,5282283,5282284,Q15276,ENSG00000029725,+
16,29663278,29663279,Q15274,ENSG00000103485,+
4,1406441,1406442,Q15270,ENSG00000235608,-
21,44107398,44107399,Q15269,ENSG00000241945,+
6,128520357,128520358,Q15262,ENSG00000152894,-
9,129111313,129111314,Q15257,ENSG00000119383,+
12,70920737,70920738,Q15256,ENSG00000153233,-
19,43186535,43186536,Q15238,ENSG00000204941,-
X,71254813,71254814,Q15233,ENSG00000147140,+
11,119729199,119729200,Q15223,ENSG00000110400,-
6,36547478,36547479,Q15208,ENSG00000112079,-
8,17576432,17576433,Q15198,ENSG00000104213,+
12,56688286,56688287,Q15185,ENSG00000110958,-
10,70233428,70233429,Q15181,ENSG00000180817,-
11,64924688,64924689,Q15173,ENSG00000068971,+
1,212285409,212285410,Q15172,ENSG00000066027,+
X,103628703,103628704,Q15170,ENSG00000172465,+
7,95396374,95396375,Q15166,ENSG00000105852,-
7,95435197,95435198,Q15165,ENSG00000105854,-
16,14833720,14833721,Q15155,ENSG00000103512,+
8,17922987,17922988,Q15154,ENSG00000078674,+
8,143976733,143976734,Q15149,ENSG00000178209,-
20,9067824,9067825,Q15147,ENSG00000101333,+
14,29927846,29927847,Q15139,ENSG00000184304,-
16,89686669,89686670,Q15131,ENSG00000185324,+
1,154936718,154936719,Q15126,ENSG00000163344,-
X,48521807,48521808,Q15125,ENSG00000147155,+
9,68356610,68356611,Q15124,ENSG00000154330,+
1,160205383,160205384,Q15121,ENSG00000162734,+
X,24465269,24465270,Q15120,ENSG00000067992,+
17,50094736,50094737,Q15119,ENSG00000005882,+
2,172556006,172556007,Q15118,ENSG00000152256,+
2,241858893,241858894,Q15116,ENSG00000188389,-
7,100602362,100602363,Q15113,ENSG00000106333,+
2,197804592,197804593,Q15111,ENSG00000115896,+
6,32184236,32184237,Q15109,ENSG00000204305,-
19,42302776,42302777,Q15102,ENSG00000079462,-
2,10837976,10837977,Q15084,ENSG00000143870,-
22,36860987,36860988,Q15080,ENSG00000100365,+
17,32486992,32486993,Q15078,ENSG00000176749,+
11,73264497,73264498,Q15077,ENSG00000171631,+
12,92929294,92929295,Q15075,ENSG00000102189,-
19,36214601,36214602,Q15072,ENSG00000167635,+
14,22766718,22766719,Q15070,ENSG00000155463,+
17,75979165,75979166,Q15067,ENSG00000161533,-
13,37598843,37598844,Q15063,ENSG00000133110,-
2,28894666,28894667,Q15061,ENSG00000163811,+
9,134068534,134068535,Q15059,ENSG00000169925,-
1,200620750,200620751,Q15058,ENSG00000118193,-
3,195443019,195443020,Q15057,ENSG00000114331,-
7,74174230,74174231,Q15056,ENSG00000106682,+
11,74592581,74592582,Q15054,ENSG00000077514,+
1,175192942,175192943,Q15053,ENSG00000235750,-
X,136780931,136780932,Q15052,ENSG00000129675,-
3,121835078,121835079,Q15051,ENSG00000173226,-
8,66429013,66429014,Q15050,ENSG00000179041,+
22,50085425,50085426,Q15049,ENSG00000100427,-
8,144517991,144517992,Q15048,ENSG00000160959,+
1,150926338,150926339,Q15047,ENSG00000143379,+
16,75647664,75647665,Q15046,ENSG00000065427,-
8,22367277,22367278,Q15043,ENSG00000104635,+
2,135052291,135052292,Q15042,ENSG00000115839,+
16,18801548,18801549,Q15041,ENSG00000170540,-
22,38700942,38700943,Q15040,ENSG00000100221,-
12,51238723,51238724,Q15038,ENSG00000183283,+
2,27370495,27370496,Q15036,ENSG00000115234,+
6,52577059,52577060,Q15035,ENSG00000065308,-
4,88592479,88592480,Q15034,ENSG00000138641,+
2,135531500,135531501,Q15032,ENSG00000048991,+
3,45388560,45388561,Q15031,ENSG00000011376,+
17,44899444,44899445,Q15029,ENSG00000108883,-
17,7336528,7336529,Q15027,ENSG00000072818,+
5,151087659,151087660,Q15025,ENSG00000145901,-
3,44976243,44976244,Q15024,ENSG00000075914,+
17,31937006,31937007,Q15022,ENSG00000178691,+
12,6494101,6494102,Q15021,ENSG00000010292,+
12,108561399,108561400,Q15020,ENSG00000075856,-
2,241315099,241315100,Q15019,ENSG00000168385,+
10,124801818,124801819,Q15018,ENSG00000165660,+
X,103688157,103688158,Q15014,ENSG00000123562,-
6,43629539,43629540,Q15013,ENSG00000124688,+
2,20051627,20051628,Q15012,ENSG00000068697,-
16,56932141,56932142,Q15011,ENSG00000051108,+
3,64024009,64024010,Q15008,ENSG00000163636,-
6,159725584,159725585,Q15007,ENSG00000146457,+
8,108443623,108443624,Q15006,ENSG00000104412,+
11,74949265,74949266,Q15005,ENSG00000118363,+
15,64381443,64381444,Q15004,ENSG00000166803,-
2,96335765,96335766,Q15003,ENSG00000121152,+
12,125326615,125326616,Q14DG7,ENSG00000139364,+
2,241869728,241869729,Q14D33,ENSG00000188011,+
3,157503625,157503626,Q14D04,ENSG00000197415,-
11,124936046,124936047,Q14CZ8,ENSG00000165478,-
5,7869030,7869031,Q14CZ7,ENSG00000124279,-
16,9091643,9091644,Q14CZ0,ENSG00000182831,+
12,112108782,112108783,Q14CX7,ENSG00000111300,-
10,102461394,102461395,Q14CX5,ENSG00000138111,+
17,44199883,44199884,Q14CW9,ENSG00000087152,-
8,58411360,58411361,Q14CS0,ENSG00000215114,+
12,52601537,52601538,Q14CN4,ENSG00000170486,-
1,86547077,86547078,Q14CN2,ENSG00000016602,+
X,12138465,12138466,Q14CM0,ENSG00000169933,+
10,97292672,97292673,Q14CB8,ENSG00000213390,-
12,129904024,129904025,Q14C87,ENSG00000151952,-
9,125261825,125261826,Q14C86,ENSG00000165219,+
3,57756229,57756230,Q14BN4,ENSG00000163681,+
6,145964422,145964423,Q149N8,ENSG00000146414,-
19,16719846,16719847,Q149M9,ENSG00000188039,+
6,43053901,43053902,Q14999,ENSG00000044090,-
2,53970992,53970993,Q14997,ENSG00000068878,-
3,23945285,23945286,Q14995,ENSG00000174738,+
1,161238209,161238210,Q14994,ENSG00000143257,-
6,69866555,69866556,Q14993,ENSG00000082293,+
8,102551588,102551589,Q14990,ENSG00000155087,+
11,133532500,133532501,Q14982,ENSG00000183715,-
11,72080692,72080693,Q14980,ENSG00000137497,-
10,102152175,102152176,Q14978,ENSG00000166197,+
17,47649475,47649476,Q14974,ENSG00000108424,+
14,69797240,69797241,Q14973,ENSG00000100652,-
2,71276592,71276593,Q14966,ENSG00000075292,+
11,107928447,107928448,Q14964,ENSG00000179331,+
17,74859884,74859885,Q14957,ENSG00000161509,-
7,23246696,23246697,Q14956,ENSG00000136235,+
HSCHR19KIR_0019-4656-B_CTG3_1,193318,193319,Q14954,ENSG00000284150,+
HSCHR19KIR_CA01-TB04_CTG3_1,240156,240157,Q14953,ENSG00000288206,+
HSCHR19KIR_0019-4656-B_CTG3_1,70211,70212,Q14952,ENSG00000284039,+
HSCHR19LRC_COX2_CTG3_1,434353,434354,Q14943,ENSG00000275434,+
16,67248978,67248979,Q14940,ENSG00000135740,+
19,12995474,12995475,Q14938,ENSG00000008441,+
14,24366910,24366911,Q14934,ENSG00000100968,+
9,94259297,94259298,Q14929,ENSG00000175787,+
11,65919425,65919426,Q14919,ENSG00000175550,+
6,25832051,25832052,Q14916,ENSG00000124568,-
9,111599834,111599835,Q14914,ENSG00000106853,-
11,47352701,47352702,Q14896,ENSG00000134571,-
16,21303061,21303062,Q14894,ENSG00000103316,-
1,37859591,37859592,Q14872,ENSG00000188786,-
10,61901698,61901699,Q14865,ENSG00000150347,+
17,39637140,39637141,Q14849,ENSG00000131748,+
17,38869858,38869859,Q14847,ENSG00000002834,+
12,6607378,6607379,Q14839,ENSG00000111642,-
6,34155621,34155622,Q14833,ENSG00000124493,-
7,86643908,86643909,Q14832,ENSG00000198822,+
3,6861114,6861115,Q14831,ENSG00000196277,+
1,156500774,156500775,Q14814,ENSG00000116604,-
16,29790726,29790727,Q14807,ENSG00000079616,+
19,35115822,35115823,Q14802,ENSG00000089356,+
14,57390585,57390586,Q147X3,ENSG00000139977,+
